Datum,Dag,Plaats,Container,Klantnaam,Aantal Containers
2024-01-02,Tuesday,Harich,6m3,webshop,1
2024-01-02,Tuesday,Lagebroek,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Ede,3m3,webshop,1
2024-01-02,Tuesday,Veenendaal,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Renkum,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Ede,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Utrecht,10m3,webshop,1
2024-01-02,Tuesday,Kanis,3m3,Bedrijf_2,1
2024-01-02,Tuesday,Utrecht,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Baambrugge,10m3,webshop,1
2024-01-02,Tuesday,Ede,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Ede,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Hankate,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Ede,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Hammelsberg,10m3,Bedrijf_1,1
2024-01-03,Wednesday,Ede,3m3,Bedrijf_1,1
2024-01-03,Wednesday,Ekehaar,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Ede,6m3,webshop,1
2024-01-03,Wednesday,Bussloo,6m3,webshop,1
2024-01-03,Wednesday,Utrecht,10m3,webshop,1
2024-01-03,Wednesday,Espel,10m3,Bedrijf_1,1
2024-01-03,Wednesday,Ede,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Renkum,10m3,Bedrijf_1,1
2024-01-03,Wednesday,Veenendaal,3m3,Bedrijf_2,1
2024-01-03,Wednesday,Ede,6m3,webshop,1
2024-01-03,Wednesday,Renkum,3m3,Bedrijf_2,1
2024-01-03,Wednesday,Veenendaal,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Utrecht,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Veenendaal,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Schaft,6m3,Bedrijf_2,1
2024-01-03,Wednesday,t Laar,6m3,webshop,1
2024-01-03,Wednesday,Utrecht,3m3,Bedrijf_2,1
2024-01-03,Wednesday,Einighausen,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Borculo,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Breeveld,3m3,webshop,1
2024-01-03,Wednesday,Bullenkamp,10m3,webshop,1
2024-01-03,Wednesday,Renkum,3m3,Bedrijf_2,1
2024-01-03,Wednesday,Lagenheuvel,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Ede,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Renkum,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Utrecht,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Overberg,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Driebruggen,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Musschendorp,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Hammelsberg,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Utrecht,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Vierakker,10m3,Bedrijf_1,1
2024-01-03,Wednesday,Hendrik-Ido-Ambacht,3m3,webshop,1
2024-01-03,Wednesday,Veldhunten,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Kapel,3m3,webshop,1
2024-01-03,Wednesday,Veenendaal,6m3,webshop,1
2024-01-03,Wednesday,Silvolde,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Megchelen,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Veenendaal,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Utrecht,6m3,webshop,1
2024-01-03,Wednesday,Papekop,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Renkum,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Renkum,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Veenendaal,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Veenendaal,3m3,Bedrijf_1,1
2024-01-03,Wednesday,Emst,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Doornsteeg,10m3,Bedrijf_1,1
2024-01-03,Wednesday,Winterswijk Meddo,10m3,Bedrijf_1,1
2024-01-03,Wednesday,Essebroek,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Terlet,3m3,Bedrijf_1,1
2024-01-03,Wednesday,Utrecht,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Neerdorp,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Wageningen,3m3,webshop,1
2024-01-03,Wednesday,Holwerd / Holwert,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Cortenoever,10m3,Bedrijf_1,1
2024-01-03,Wednesday,Bevermeer,3m3,Bedrijf_2,1
2024-01-03,Wednesday,Klaaswaal,10m3,webshop,1
2024-01-03,Wednesday,Ede,10m3,webshop,1
2024-01-03,Wednesday,Wehl,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Ede,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Oosterbeek,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Renkum,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Veenendaal,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Westernieland,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Utrecht,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Ede,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Heihoefke,3m3,Bedrijf_1,1
2024-01-03,Wednesday,Utrecht,6m3,Bedrijf_1,1
2024-01-03,Wednesday,Veenendaal,3m3,webshop,1
2024-01-03,Wednesday,De Horst,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Ede,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Renkum,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Stokkum,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Veenendaal,3m3,Bedrijf_2,1
2024-01-03,Wednesday,Sint Isidorushoeve,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Renkum,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Nieuwegein,10m3,Bedrijf_2,1
2024-01-03,Wednesday,Ede,3m3,Bedrijf_2,1
2024-01-03,Wednesday,Herveld-Zuid,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Nieuwaal,6m3,Bedrijf_2,1
2024-01-03,Wednesday,Renkum,10m3,Bedrijf_1,1
2024-01-03,Wednesday,Het Broek,3m3,Bedrijf_1,1
2024-01-03,Wednesday,Ede,3m3,webshop,1
2024-01-03,Wednesday,Ede,10m3,Bedrijf_2,1
2024-01-04,Thursday,Utrecht,6m3,Bedrijf_2,1
2024-01-04,Thursday,Schaarsbergen,6m3,Bedrijf_1,1
2024-01-04,Thursday,Ede,3m3,Bedrijf_2,1
2024-01-04,Thursday,Veenendaal,10m3,webshop,1
2024-01-04,Thursday,Stroe,3m3,Bedrijf_1,1
2024-01-04,Thursday,Terwolde,6m3,Bedrijf_1,1
2024-01-04,Thursday,Termoors,3m3,Bedrijf_2,1
2024-01-04,Thursday,Breudijk,6m3,Bedrijf_1,1
2024-01-04,Thursday,Ede,3m3,Bedrijf_2,1
2024-01-04,Thursday,Nieuw Milligen,3m3,Bedrijf_2,1
2024-01-04,Thursday,Berghuizen,3m3,Bedrijf_1,1
2024-01-04,Thursday,Vechten,6m3,Bedrijf_2,1
2024-01-04,Thursday,Ede,3m3,Bedrijf_1,1
2024-01-04,Thursday,Kromwijk,6m3,webshop,1
2024-01-04,Thursday,Utrecht,3m3,webshop,1
2024-01-04,Thursday,Malden,10m3,webshop,1
2024-01-04,Thursday,t Villeken,6m3,Bedrijf_1,1
2024-01-04,Thursday,Utrecht,3m3,Bedrijf_1,1
2024-01-04,Thursday,Kring van Dorth,6m3,Bedrijf_1,1
2024-01-04,Thursday,Vliet,3m3,Bedrijf_1,1
2024-01-04,Thursday,De Hoef,10m3,Bedrijf_2,1
2024-01-04,Thursday,Renkum,10m3,Bedrijf_2,1
2024-01-04,Thursday,Hupsel,10m3,webshop,1
2024-01-04,Thursday,Lienden,10m3,Bedrijf_1,1
2024-01-04,Thursday,t Hazeleger,6m3,Bedrijf_1,1
2024-01-04,Thursday,Ede,10m3,Bedrijf_1,1
2024-01-04,Thursday,Woezik,10m3,Bedrijf_1,1
2024-01-04,Thursday,Wordragen,3m3,Bedrijf_2,1
2024-01-04,Thursday,Ede,6m3,webshop,1
2024-01-04,Thursday,Nieuw Milligen,6m3,Bedrijf_1,1
2024-01-04,Thursday,Harkema / De Harkema,10m3,Bedrijf_2,1
2024-01-04,Thursday,Voorsterveld,6m3,Bedrijf_2,1
2024-01-04,Thursday,Renkum,10m3,webshop,1
2024-01-04,Thursday,Nergena,6m3,Bedrijf_2,1
2024-01-04,Thursday,Doorning,10m3,Bedrijf_1,1
2024-01-04,Thursday,Garderen,6m3,Bedrijf_1,1
2024-01-04,Thursday,Hinnaard / Hennaard,10m3,webshop,1
2024-01-04,Thursday,Klarenbeek,10m3,Bedrijf_2,1
2024-01-04,Thursday,Ede,10m3,Bedrijf_1,1
2024-01-04,Thursday,Moordhuizen,10m3,webshop,1
2024-01-04,Thursday,Spijk,10m3,Bedrijf_2,1
2024-01-04,Thursday,Utrecht,6m3,Bedrijf_1,1
2024-01-04,Thursday,Veenendaal,3m3,Bedrijf_2,1
2024-01-04,Thursday,Renkum,10m3,webshop,1
2024-01-04,Thursday,Den Oord,3m3,Bedrijf_1,1
2024-01-04,Thursday,Utrecht,10m3,webshop,1
2024-01-04,Thursday,Ede,10m3,Bedrijf_1,1
2024-01-04,Thursday,Loosdorp,10m3,webshop,1
2024-01-04,Thursday,Renkum,6m3,Bedrijf_1,1
2024-01-04,Thursday,Utrecht,6m3,Bedrijf_2,1
2024-01-04,Thursday,Zuideinde,3m3,Bedrijf_2,1
2024-01-04,Thursday,Renkum,3m3,Bedrijf_2,1
2024-01-04,Thursday,Eekt,6m3,Bedrijf_2,1
2024-01-04,Thursday,Ede,10m3,Bedrijf_1,1
2024-01-04,Thursday,Veenendaal,10m3,Bedrijf_2,1
2024-01-04,Thursday,Utrecht,10m3,Bedrijf_1,1
2024-01-04,Thursday,Utrecht,10m3,Bedrijf_1,1
2024-01-04,Thursday,Veenendaal,10m3,webshop,1
2024-01-04,Thursday,Lopikerkapel,10m3,Bedrijf_2,1
2024-01-04,Thursday,Ede,3m3,Bedrijf_2,1
2024-01-04,Thursday,Veenendaal,10m3,webshop,1
2024-01-04,Thursday,Otterlo,6m3,Bedrijf_2,1
2024-01-04,Thursday,Ommerenveld,3m3,Bedrijf_1,1
2024-01-04,Thursday,Paesens / Peazens,6m3,Bedrijf_2,1
2024-01-04,Thursday,Overboeicop,6m3,Bedrijf_2,1
2024-01-04,Thursday,Utrecht,6m3,Bedrijf_1,1
2024-01-04,Thursday,Hoogmeien,3m3,Bedrijf_2,1
2024-01-04,Thursday,Renkum,6m3,Bedrijf_1,1
2024-01-04,Thursday,Renkum,3m3,Bedrijf_1,1
2024-01-04,Thursday,Utrecht,10m3,Bedrijf_1,1
2024-01-04,Thursday,Wassenaar,6m3,Bedrijf_2,1
2024-01-04,Thursday,Acquoy,10m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,6m3,Bedrijf_2,1
2024-01-05,Friday,Stolpen,10m3,Bedrijf_1,1
2024-01-05,Friday,De Voort,6m3,webshop,1
2024-01-05,Friday,Angeren,6m3,webshop,1
2024-01-05,Friday,Wessinge,6m3,webshop,1
2024-01-05,Friday,Renkum,3m3,webshop,1
2024-01-05,Friday,Veenendaal,3m3,Bedrijf_1,1
2024-01-05,Friday,Hoogmeien,10m3,Bedrijf_2,1
2024-01-05,Friday,Lexmond,10m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,10m3,Bedrijf_1,1
2024-01-05,Friday,De Schutterij,6m3,Bedrijf_2,1
2024-01-05,Friday,Groenekan,6m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,10m3,Bedrijf_2,1
2024-01-05,Friday,Ridderbuurt,10m3,webshop,1
2024-01-05,Friday,Veenendaal,3m3,webshop,1
2024-01-05,Friday,Ede,6m3,Bedrijf_1,1
2024-01-05,Friday,Utrecht,6m3,webshop,1
2024-01-05,Friday,Vorchten,6m3,webshop,1
2024-01-05,Friday,Doorning,3m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,6m3,Bedrijf_2,1
2024-01-05,Friday,Ede,10m3,Bedrijf_1,1
2024-01-05,Friday,Veenendaal,10m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,6m3,Bedrijf_1,1
2024-01-05,Friday,Meerenbroek,10m3,Bedrijf_2,1
2024-01-05,Friday,Amstelhoek,10m3,webshop,1
2024-01-05,Friday,Veenendaal,10m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,6m3,Bedrijf_1,1
2024-01-05,Friday,Donkereind,10m3,webshop,1
2024-01-05,Friday,Haart,3m3,webshop,1
2024-01-05,Friday,Veenendaal,3m3,Bedrijf_1,1
2024-01-05,Friday,Beneden-Leeuwen,6m3,Bedrijf_1,1
2024-01-05,Friday,Nederhemert-Noord,10m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,10m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,10m3,Bedrijf_2,1
2024-01-05,Friday,t Hof (?),3m3,Bedrijf_1,1
2024-01-05,Friday,Maarn,10m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,10m3,Bedrijf_1,1
2024-01-05,Friday,Utrecht,10m3,Bedrijf_2,1
2024-01-05,Friday,Houten,3m3,Bedrijf_1,1
2024-01-05,Friday,Ede,6m3,Bedrijf_2,1
2024-01-05,Friday,Veenendaal,10m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,6m3,Bedrijf_2,1
2024-01-05,Friday,Zandheuvel,10m3,Bedrijf_2,1
2024-01-05,Friday,Blauwesluis,6m3,Bedrijf_1,1
2024-01-05,Friday,De Horst,3m3,Bedrijf_1,1
2024-01-05,Friday,Voorne,6m3,Bedrijf_2,1
2024-01-05,Friday,Ede,6m3,Bedrijf_2,1
2024-01-05,Friday,Klein Agelo,6m3,Bedrijf_1,1
2024-01-05,Friday,Doorning,6m3,Bedrijf_2,1
2024-01-05,Friday,Veenendaal,10m3,webshop,1
2024-01-05,Friday,Ede,6m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,10m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,10m3,Bedrijf_2,1
2024-01-05,Friday,Vierhouten,3m3,webshop,1
2024-01-05,Friday,Utrecht,10m3,Bedrijf_1,1
2024-01-05,Friday,Utrecht,6m3,Bedrijf_2,1
2024-01-05,Friday,Flieren,6m3,Bedrijf_2,1
2024-01-05,Friday,Ede,10m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,3m3,Bedrijf_2,1
2024-01-05,Friday,Hoevelaken,3m3,Bedrijf_1,1
2024-01-05,Friday,Greffelkamp,6m3,webshop,1
2024-01-05,Friday,Renkum,10m3,Bedrijf_2,1
2024-01-05,Friday,Ede,10m3,Bedrijf_2,1
2024-01-05,Friday,Benschop,3m3,Bedrijf_1,1
2024-01-05,Friday,Ede,6m3,Bedrijf_1,1
2024-01-05,Friday,Veenendaal,6m3,webshop,1
2024-01-05,Friday,Veenendaal,3m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,3m3,Bedrijf_2,1
2024-01-05,Friday,Hintham,10m3,Bedrijf_2,1
2024-01-05,Friday,Renkum,6m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,3m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,3m3,webshop,1
2024-01-05,Friday,Rhienderen,10m3,Bedrijf_2,1
2024-01-05,Friday,Bilthoven,3m3,Bedrijf_2,1
2024-01-05,Friday,Appeltern,6m3,webshop,1
2024-01-05,Friday,Veenendaal,3m3,Bedrijf_1,1
2024-01-05,Friday,Veenendaal,10m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,6m3,Bedrijf_2,1
2024-01-05,Friday,Schaveren,10m3,Bedrijf_1,1
2024-01-05,Friday,Utrecht,6m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,10m3,Bedrijf_1,1
2024-01-05,Friday,Hedel,10m3,Bedrijf_2,1
2024-01-05,Friday,Utrecht,6m3,Bedrijf_1,1
2024-01-05,Friday,Renkum,3m3,Bedrijf_1,1
2024-01-05,Friday,Wedderveer,6m3,Bedrijf_2,1
2024-01-05,Friday,Amstelveen,3m3,Bedrijf_2,1
2024-01-05,Friday,Oosterwolde,6m3,Bedrijf_2,1
2024-01-05,Friday,Renkum,10m3,Bedrijf_1,1
2024-01-05,Friday,Belvert,6m3,Bedrijf_2,1
2024-01-06,Saturday,Bredevoort,3m3,webshop,1
2024-01-06,Saturday,Jonkerslân / Jonkersland,10m3,Bedrijf_1,1
2024-01-06,Saturday,Lunteren,10m3,webshop,1
2024-01-06,Saturday,Echteld,10m3,Bedrijf_1,1
2024-01-06,Saturday,Renkum,10m3,Bedrijf_2,1
2024-01-06,Saturday,Molenbuurt,3m3,Bedrijf_1,1
2024-01-06,Saturday,Boschheurne,10m3,Bedrijf_2,1
2024-01-06,Saturday,Huinen,10m3,Bedrijf_1,1
2024-01-06,Saturday,Utrecht,3m3,Bedrijf_1,1
2024-01-06,Saturday,Utrecht,10m3,Bedrijf_2,1
2024-01-06,Saturday,Veenendaal,3m3,Bedrijf_1,1
2024-01-06,Saturday,Ede,6m3,Bedrijf_1,1
2024-01-06,Saturday,Waardenburg,10m3,Bedrijf_1,1
